id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
330317,4/26/2013 12:10,4/26/2013,2013-04-26 16:10:28 UTC,Eastern Time (US & Canada),,14389,sdroege,2013-07-12 19:32:49 UTC,2017-11-09 19:02:58 UTC,research,CC-BY,http://www.inaturalist.org/observations/330317,https://static.inaturalist.org/photos/411690/medium.jpg?1444599630,,,"Beltsville, Maryland Honey bee wing, Apis mellifera ",FALSE,1,0,FALSE,,"Beltsville, Maryland, United States",39.034819,-76.873015,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
330329,4/25/2013 17:25,4/25/2013,2013-04-25 21:25:16 UTC,Eastern Time (US & Canada),,14389,sdroege,2013-07-12 19:38:12 UTC,2017-11-09 19:03:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/330329,https://static.inaturalist.org/photos/411704/medium.jpg?1444599679,,,"Honey bee face, Apis mellifera, note the hairs coming off the compound eyes...a distinctive honey bee trait compared to native bees (other than Coelioxys)
Beltsville Maryland",FALSE,1,0,FALSE,,"Beltsville, Maryland, United States",39.034819,-76.873015,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
534926,9/22/2012 10:16,9/22/2012,2012-09-22 14:16:01 UTC,Eastern Time (US & Canada),,30601,calopteryx,2014-02-18 04:55:08 UTC,2017-11-09 19:24:06 UTC,research,CC0,http://www.inaturalist.org/observations/534926,https://static.inaturalist.org/photos/680176/medium.jpg?1444449540,,,"Meadowlark Gardens Regional Park, Fairfax County, VA 22 September 2012",FALSE,1,0,FALSE,,Meadowlark Gardens Regional Park,38.937681,-77.282509,,,,FALSE,,,Apis mellifera,Apis mellifera,Western Honey Bee,Insecta,47219
548320,6/11/2013 6:20,6/11/2013,2013-06-11 10:20:18 UTC,Eastern Time (US & Canada),,30601,calopteryx,2014-03-02 04:21:14 UTC,2017-11-09 19:26:51 UTC,research,CC0,http://www.inaturalist.org/observations/548320,https://static.inaturalist.org/photos/699947/medium.JPG?1393734079,,,,FALSE,1,0,FALSE,,"Dumbarton Oaks Gardens, DC",38.914799,-77.063282,228,,,FALSE,,,Apis mellifera,Apis mellifera,Western Honey Bee,Insecta,47219
775199,7/8/2014 18:00,7/8/2014,2014-07-08 22:00:00 UTC,Eastern Time (US & Canada),,31092,ecologyelise,2014-07-08 22:25:03 UTC,2018-12-12 06:28:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/775199,https://static.inaturalist.org/photos/973629/medium.JPG?1404858313,,"VA, inverts, USA",,FALSE,2,0,FALSE,,"Virginia, US",38.83419685,-77.23221765,500,obscured,,TRUE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
776707,7/9/2014 12:30,7/9/2014,2014-07-09 16:30:00 UTC,Eastern Time (US & Canada),,31092,ecologyelise,2014-07-10 01:49:59 UTC,2018-12-12 06:24:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/776707,https://static.inaturalist.org/photos/975822/medium.JPG?1404957016,,"VA, inverts, USA",,FALSE,2,0,FALSE,,"Virginia, US",38.84743882,-77.22685926,500,obscured,,TRUE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
836534,8/18/2014 13:20,8/18/2014,2014-08-18 17:20:00 UTC,Eastern Time (US & Canada),,31092,ecologyelise,2014-08-18 17:37:34 UTC,2017-11-09 19:57:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/836534,https://static.inaturalist.org/photos/1058737/medium.JPG?1408383465,,"VA, inverts, USA",Foraging on Butterfly weed (Asclepia tuberosa) ,FALSE,1,0,FALSE,,"Virginia, US",38.89301969,-77.39232905,500,obscured,,TRUE,,,European Honeybee,Apis mellifera,Western Honey Bee,Insecta,47219
874172,Fri Sep 12 2014 15:07:34 GMT-0400 (EDT),9/12/2014,2014-09-12 19:07:34 UTC,Eastern Time (US & Canada),,51338,layymkayy,2014-09-13 17:33:40 UTC,2017-11-09 20:04:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/874172,https://static.inaturalist.org/photos/1109453/medium.jpg?1410629633,,,"This was found outside of Monroe Hall. It is moist because it was captured in a pan trap, and therefore its bright yellow colors look much duller here. The abdomen has yellow and black stripes and the thorax is yellow. ",FALSE,1,0,FALSE,3,,38.8984,-77.0459445,,,,FALSE,,,,Apis mellifera,Western Honey Bee,Insecta,47219
874814,Fri Sep 12 2014 14:27:44 GMT-0400 (EDT),9/12/2014,2014-09-12 18:27:44 UTC,Eastern Time (US & Canada),,51490,larebaltaf,2014-09-13 23:33:53 UTC,2017-11-09 20:04:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/874814,https://static.inaturalist.org/photos/1110026/medium.jpg?1410651238,,,Tiny fuzzy bee with a dull abdomen with yellowish-gold and black stripes. ,FALSE,3,0,FALSE,22,"George Washington University, Washington, DC, US",38.89833,-77.0480195,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
884170,9/12/2014,9/12/2014,,Eastern Time (US & Canada),,51482,msimons,2014-09-18 23:20:16 UTC,2017-11-09 20:09:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/884170,https://static.inaturalist.org/photos/1122870/medium.PNG?1411082423,,,"Striped yellow and dark brown body, pattern extends to the bottom and end of the abdomen. Golden storage pouches can be seen on both hind legs (see picture), both are large in size. Hair appears to thinly cover its body, with the thickest area being by and on the head. ",FALSE,1,0,FALSE,,The George Washington University,38.899715,-77.048599,769,,,FALSE,,,Honeybee,Apis mellifera,Western Honey Bee,Insecta,47219
884764,9/12/2014,9/12/2014,,Eastern Time (US & Canada),,51471,jywaroich,2014-09-19 06:25:04 UTC,2017-11-09 20:09:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/884764,https://static.inaturalist.org/photos/1123796/medium.JPG?1411107913,,bee,"- mainly yellow/brown with black stripes on abdomen 
- only thorax and legs look to have hairs
- wings
- 6 legs ",FALSE,3,0,FALSE,,George Washington University,38.898181,-77.046089,206,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
887599,2014-09-12 3:13:01 PM EDT,9/12/2014,2014-09-12 19:13:01 UTC,Eastern Time (US & Canada),,51469,mablackburnster,2014-09-21 01:25:28 UTC,2017-11-09 20:10:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/887599,https://static.inaturalist.org/photos/1127267/medium.jpg?1411262827,,,Found on G Street and 22nd street on GWU campus. ,TRUE,3,0,FALSE,2,"22nd and G Street NW, Washington, DC 20052",38.899536,-77.048833,301,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
888322,9/12/2014,9/12/2014,,Arizona,,50006,rprather,2014-09-21 19:29:44 UTC,2017-11-09 20:10:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/888322,https://static.inaturalist.org/photos/1140410/medium.jpg?1411768903,,#gwufieldbio,Saw it on lavender plants outside of the GW Psychology Dept. building.,FALSE,1,0,FALSE,,GWU,38.898353,-77.046288,231,,,FALSE,,,Apis mellifera,Apis mellifera,Western Honey Bee,Insecta,47219
912349,9/12/2014,9/12/2014,,Eastern Time (US & Canada),,51480,ckalita,2014-10-07 03:44:03 UTC,2017-11-09 20:12:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/912349,https://static.inaturalist.org/photos/1163739/medium.JPG?1412653458,,,About 1 inch in length.,FALSE,1,0,FALSE,,George Washington University,38.898412,-77.047355,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
913107,9/12/2014,9/12/2014,,Eastern Time (US & Canada),,51312,hsynn,2014-10-07 19:26:55 UTC,2017-11-09 20:12:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/913107,https://static.inaturalist.org/photos/1164744/medium.JPG?1412710018,,,A Honey bee found around GW psychology department (in the small lavender field). ,FALSE,2,0,FALSE,,GWU psychology department,38.898547,-77.048268,190,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1037581,7/12/2014 14:35,7/12/2014,2014-07-12 18:35:37 UTC,Eastern Time (US & Canada),,17932,treichard,2014-10-25 23:59:15 UTC,2018-12-14 17:48:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1037581,https://static.inaturalist.org/photos/1300948/medium.jpg?1414281558,,,,FALSE,2,0,FALSE,,"Prince George's, Maryland, United States",39.02810667,-76.79617,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1226798,Sun Feb 08 2015 15:45:31 GMT-0500 (EST),2/8/2015,2015-02-08 20:45:31 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-02-10 14:55:12 UTC,2017-11-09 20:22:39 UTC,research,CC0,http://www.inaturalist.org/observations/1226798,https://static.inaturalist.org/photos/1545296/medium.jpg?1423580241,,,This bee came to inspect some bright colors but left unfulfilled. ,FALSE,1,0,FALSE,3,United States,38.99316196,-76.97790346,500,obscured,,TRUE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1427217,Sun Apr 26 2015 14:13:04 GMT-0400 (EDT),4/26/2015,2015-04-26 18:13:04 UTC,Eastern Time (US & Canada),,22081,jbrown,2015-04-26 20:52:53 UTC,2018-09-14 18:55:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1427217,https://static.inaturalist.org/photos/1766168/medium.jpg?1430081646,,,,FALSE,2,0,FALSE,3,"National Arboretum, Washington, DC, US",38.909307,-76.964515,523,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1522678,Sun May 17 2015 17:05:05 GMT-0400 (EDT),5/17/2015,2015-05-17 21:05:05 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-05-22 03:01:44 UTC,2017-11-09 20:44:24 UTC,research,CC0,http://www.inaturalist.org/observations/1522678,https://static.inaturalist.org/photos/1886869/medium.jpg?1432263733,,,Foraging in clover. ,FALSE,1,0,FALSE,3,United States,38.80440964,-76.90018668,,obscured,,TRUE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1532038,Sat May 23 2015 14:29:14 GMT-0400 (EDT),5/23/2015,2015-05-23 18:29:14 UTC,Eastern Time (US & Canada),,100929,adventure_us,2015-05-23 20:04:45 UTC,2017-11-09 20:46:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1532038,https://static.inaturalist.org/photos/1898211/medium.jpg?1432411676,,,,FALSE,1,0,FALSE,3,"130 M St NE, Washington, DC, US",38.905972,-77.004587,65,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1703651,6/28/2015,6/28/2015,,Eastern Time (US & Canada),,3406,briangratwicke,2015-06-28 23:02:55 UTC,2017-11-09 21:00:44 UTC,research,CC-BY,http://www.inaturalist.org/observations/1703651,https://farm4.staticflickr.com/3686/19221306386_3cb483f916.jpg,,,Any idea what those yellow tassels are on its feet?,FALSE,1,0,FALSE,,"1461 Harvard St, NW Washington DC",38.9265,-77.034643,190,,,FALSE,,,honey bee,Apis mellifera,Western Honey Bee,Insecta,47219
1745127,Sat Jul 11 2015 10:12:15 GMT-0400 (EDT),7/11/2015,2015-07-11 14:12:15 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-07-11 18:49:00 UTC,2017-11-09 21:03:44 UTC,research,CC0,http://www.inaturalist.org/observations/1745127,https://static.inaturalist.org/photos/2116825/medium.jpg?1436640549,,,,FALSE,1,0,FALSE,3,"5000 Wicomico Ave, Beltsville, MD, US",39.03975283,-76.9067,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1750527,Fri Jul 10 2015 08:32:01 GMT-0400 (EDT),7/10/2015,2015-07-10 12:32:01 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-07-13 02:26:22 UTC,2017-11-09 21:04:17 UTC,research,CC0,http://www.inaturalist.org/observations/1750527,https://static.inaturalist.org/photos/2124421/medium.jpg?1436754389,,,,FALSE,1,0,FALSE,3,United States,38.8588417,-76.8045305,,obscured,,TRUE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1811501,7/16/2015 17:55,7/16/2015,2015-07-16 21:55:06 UTC,Eastern Time (US & Canada),,17932,treichard,2015-07-29 02:56:22 UTC,2018-12-16 05:22:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1811501,https://static.inaturalist.org/photos/2196781/medium.jpg?1438138612,,"Honey Bee, Patuxent Research Refuge South Tract",,FALSE,2,0,FALSE,,"Prince George's, Maryland, United States",39.02810667,-76.79617,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1877849,Wed Aug 19 2015 14:11:18 GMT-0400 (EDT),8/19/2015,2015-08-19 18:11:18 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-08-21 01:44:24 UTC,2017-11-09 21:13:39 UTC,research,CC0,http://www.inaturalist.org/observations/1877849,https://static.inaturalist.org/photos/2288186/medium.jpg?1440121470,,,These bees are drinking at a leaky sprinkler head in the ground on a rooftop patio planter. ,FALSE,2,0,FALSE,3,"1600 M St NW, Washington, DC, US",38.904725,-77.0372555,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1897820,8/22/2015 10:38,8/22/2015,2015-08-22 14:38:42 UTC,Eastern Time (US & Canada),,30601,calopteryx,2015-08-28 01:40:02 UTC,2017-11-09 21:15:43 UTC,research,CC0,http://www.inaturalist.org/observations/1897820,https://static.inaturalist.org/photos/2315331/medium.jpg?1444527059,,,,FALSE,1,0,FALSE,,Woodend Sanctuary,39.002762,-77.067971,126,,,FALSE,,manual,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
1897865,8/22/2015 10:16,8/22/2015,2015-08-22 14:16:11 UTC,Eastern Time (US & Canada),,30601,calopteryx,2015-08-28 02:00:14 UTC,2017-11-09 21:15:45 UTC,research,CC0,http://www.inaturalist.org/observations/1897865,https://static.inaturalist.org/photos/2315384/medium.jpg?1444527215,,,,FALSE,1,0,FALSE,,Woodend Sactuary,39.001743,-77.067604,179,,,FALSE,,manual,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
